point,col,name,year,lat,long
25,12,Melish,1818.0,46.73,92.17
26,1,Actual,,46.87,89.33
26,2,Coronelli,1688.0,45.85,95.95
26,3,Del'Isle,1703.0,46.13,91.12
26,4,Popple,1733.0,-46.15,-93.0
26,5,Belin,1744.0,46.58,90.78
26,6,Belin,1755.0,46.48,92.78
26,7,Mitchell,1755.0,46.22,88.78
26,8,D'Anville,1755.0,45.77,87.13
26,9,Lattre,1784.0,46.15,89.42
26,10,Arrowsmith,1802.0,46.88,89.42
26,11,Cary,1805.0,46.92,89.4
26,12,Melish,1818.0,46.92,89.32
27,1,Actual,,46.75,88.45
27,2,Coronelli,1688.0,45.6,94.42
27,3,Del'Isle,1703.0,45.97,89.57
27,4,Popple,1733.0,46.15,91.77
27,5,Belin,1744.0,46.0,89.17
27,6,Belin,1755.0,45.83,91.08
27,7,Mitchell,1755.0,45.72,87.62
27,8,D'Anville,1755.0,45.45,86.05
27,9,Lattre,1784.0,45.72,88.38
27,10,Arrowsmith,1802.0,46.83,88.63
27,11,Cary,1805.0,46.83,88.67
27,12,Melish,1818.0,46.82,88.73
28,1,Actual,,47.4,87.7
28,2,Coronelli,1688.0,46.88,93.55
28,3,Del'Isle,1703.0,46.82,89.05
28,4,Popple,1733.0,47.92,91.53
28,5,Belin,1744.0,47.08,89.25
28,6,Belin,1755.0,46.98,91.17
28,7,Mitchell,1755.0,46.62,87.6
28,8,D'Anville,1755.0,46.23,85.75
28,9,Lattre,1784.0,46.57,88.22
28,10,Arrowsmith,1802.0,45.58,88.05
28,11,Cary,1805.0,47.58,88.05
28,12,Melish,1818.0,47.73,88.13
29,1,Actual,,43.27,79.03
29,2,Coronelli,1688.0,43.0,83.42
29,3,Del'Isle,1703.0,43.2,78.58
29,4,Popple,1733.0,42.8,80.5
29,5,Belin,1744.0,42.93,76.43
29,6,Belin,1755.0,43.5,78.75
29,7,Mitchell,1755.0,43.42,78.25
29,8,D'Anville,1755.0,43.52,77.48
29,9,Lattre,1784.0,43.35,79.0
29,10,Arrowsmith,1802.0,43.27,79.07
29,11,Cary,1805.0,43.23,79.07
29,12,Melish,1818.0,43.27,79.0
30,1,Actual,,44.22,76.48
30,2,Coronelli,1688.0,44.12,80.5
30,3,Del'Isle,1703.0,44.23,79.1
30,4,Popple,1733.0,45.0,77.95
30,5,Belin,1744.0,44.13,72.83
30,6,Belin,1755.0,44.5,77.0
30,7,Mitchell,1755.0,44.45,75.87
30,8,D'Anville,1755.0,44.78,74.9
30,9,Lattre,1784.0,44.4,76.5
30,10,Arrowsmith,1802.0,44.17,76.72
30,11,Cary,1805.0,44.15,76.72
30,12,Melish,1818.0,44.27,76.5
31,1,Actual,,43.63,79.47
31,2,Coronelli,1688.0,43.55,83.92
31,3,Del'Isle,1703.0,43.85,79.15
31,4,Popple,1733.0,43.72,81.05
31,5,Belin,1744.0,44.08,76.72
31,6,Belin,1755.0,-43.08,-79.0
31,7,Mitchell,1755.0,43.8,78.7
31,8,D'Anville,1755.0,43.8,77.52
31,9,Lattre,1784.0,43.85,79.55
31,10,Arrowsmith,1802.0,43.67,79.52
31,11,Cary,1805.0,43.63,79.53
31,12,Melish,1818.0,-44.07,-79.08
32,1,Actual,,44.2,76.97
32,2,Coronelli,1688.0,-43.13,-80.03
32,3,Del'Isle,1703.0,-44.0,-76.07
32,4,Popple,1733.0,-43.15,-78.13
32,5,Belin,1744.0,44.42,74.0
32,6,Belin,1755.0,-44.03,-75.08
32,7,Mitchell,1755.0,44.57,76.27
32,8,D'Anville,1755.0,44.8,75.35
32,9,Lattre,1784.0,44.58,77.0
32,10,Arrowsmith,1802.0,44.12,77.25
32,11,Cary,1805.0,44.13,77.23
32,12,Melish,1818.0,-45.02,-77.02
33,1,Actual,,44.1,77.58
33,2,Coronelli,1688.0,-43.12,-81.0
33,3,Del'Isle,1703.0,-44.0,-77.02
33,4,Popple,1733.0,-43.13,-79.08
33,5,Belin,1744.0,44.53,75.08
33,6,Belin,1755.0,44.38,77.85
33,7,Mitchell,1755.0,44.65,76.72
33,8,D'Anville,1755.0,44.7,75.63
33,9,Lattre,1784.0,44.78,77.48
33,10,Arrowsmith,1802.0,44.05,77.77
33,11,Cary,1805.0,44.05,77.78
33,12,Melish,1818.0,44.08,77.57
34,1,Actual,,42.9,78.92
34,2,Coronelli,1688.0,42.87,83.57
34,3,Del'Isle,1703.0,42.68,78.78
34,4,Popple,1733.0,42.15,80.47
34,5,Belin,1744.0,42.98,76.75
34,6,Belin,1755.0,43.33,78.83
34,7,Mitchell,1755.0,42.97,78.37
34,8,D'Anville,1755.0,43.13,77.52
34,9,Lattre,1784.0,42.97,79.08
34,10,Arrowsmith,1802.0,42.88,78.98
34,11,Cary,1805.0,42.88,78.98
34,12,Melish,1818.0,42.73,80.65
35,1,Actual,,42.37,82.92
35,2,Coronelli,1688.0,42.53,87.33
35,3,Del'Isle,1703.0,42.48,82.05
35,4,Popple,1733.0,42.28,85.28
35,5,Belin,1744.0,42.55,82.0
35,6,Belin,1755.0,42.88,82.83
35,7,Mitchell,1755.0,42.88,82.62
35,8,D'Anville,1755.0,42.77,81.27
35,9,Lattre,1784.0,42.8,83.25
35,10,Arrowsmith,1802.0,42.62,82.77
35,11,Cary,1805.0,42.63,82.7
35,12,Melish,1818.0,42.68,82.63
36,1,Actual,,42.62,82.53
36,2,Coronelli,1688.0,42.8,86.92
36,3,Del'Isle,1703.0,42.97,81.88
36,4,Popple,1733.0,42.6,85.1
36,5,Belin,1744.0,42.82,81.75
36,6,Belin,1755.0,43.25,82.75
36,7,Mitchell,1755.0,43.08,82.38
36,8,D'Anville,1755.0,42.87,80.88
36,9,Lattre,1784.0,43.02,83.07
36,10,Arrowsmith,1802.0,42.82,82.28
36,11,Cary,1805.0,42.82,82.22
36,12,Melish,1818.0,43.0,82.13
37,1,Actual,,45.27,81.65
37,2,Coronelli,1688.0,44.3,84.92
37,3,Del'Isle,1703.0,44.52,81.57
37,4,Popple,1733.0,44.32,84.42
37,5,Belin,1744.0,44.8,80.37
37,6,Belin,1755.0,44.83,81.5
37,7,Mitchell,1755.0,44.97,81.25
37,8,D'Anville,1755.0,45.08,79.55
37,9,Lattre,1784.0,44.92,82.02
37,10,Arrowsmith,1802.0,45.4,80.83
37,11,Cary,1805.0,45.42,80.83
37,12,Melish,1818.0,45.08,81.65
38,1,Actual,,45.3,86.98
38,2,Coronelli,1688.0,44.37,91.92
38,3,Del'Isle,1703.0,45.17,86.15
38,4,Popple,1733.0,44.48,90.45
38,5,Belin,1744.0,44.58,87.67
38,6,Belin,1755.0,44.57,89.57
38,7,Mitchell,1755.0,44.73,86.58
38,8,D'Anville,1755.0,44.7,84.63
38,9,Lattre,1784.0,44.75,87.25
38,10,Arrowsmith,1802.0,45.08,85.52
38,11,Cary,1805.0,45.07,85.52
38,12,Melish,1818.0,45.08,86.07
39,1,Actual,,46.48,84.63
39,2,Coronelli,1688.0,46.1,89.45
39,3,Del'Isle,1703.0,46.13,88.02
39,4,Popple,1733.0,46.07,88.63
39,5,Belin,1744.0,46.2,85.7
39,6,Belin,1755.0,46.1,87.57
39,7,Mitchell,1755.0,45.9,85.03
39,8,D'Anville,1755.0,45.77,82.93
39,9,Lattre,1784.0,45.88,85.72
39,10,Arrowsmith,1802.0,46.42,84.33
39,11,Cary,1805.0,46.4,84.32
39,12,Melish,1818.0,46.45,84.88
